"","id","installation_date","subscripiton_date","country","initial_app_version","initial_ios_version","initial_device","days_until_churn","churned"
"1","100000415577994","2017-07-16 22:29:31","2018-04-01 01:35:58","Canada","1.9.1","11.2.5","UIDeviceKindIPhoneX",NA,0
"2","100000415580508","2016-12-19 14:28:03","2018-04-01 01:45:40","New Zealand","1.7.5","11.2.1","UIDeviceKindIPhoneX",NA,0
"3","100000415636784","2017-02-09 00:48:33","2018-04-01 05:15:46","United States","1.6","10.3.3","UIDeviceKindIPhone6S",NA,0
"4","100000415750897","2017-12-07 16:03:47","2018-04-01 13:27:22","Turkey","1.9.5","11.2.6","UIDeviceKindIPhone5S",NA,0
"5","100000415825030","2017-12-01 14:59:29","2018-04-01 17:23:33","United States","1.9.5","11.2.6","UIDeviceKindIPhone8",9,1
"6","100000415882523","2018-04-01 21:03:15","2018-04-01 21:10:53","Spain","1.9.5","11.2.1","UIDeviceKindIPhone6",NA,0
"7","100000415906864","2018-04-01 22:38:23","2018-04-01 22:41:04","United States","1.9.5","11.2.6","UIDeviceKindIPhone6SPlus",NA,0
"8","100000415913608","2018-04-01 23:08:36","2018-04-01 23:10:13","United States","1.9.5","11.2.5","UIDeviceKindIPhone6S",NA,0
"9","100000415954909","2018-04-02 01:44:01","2018-04-02 01:49:23","Canada","1.9.5","11.2.1","UIDeviceKindIPhone6",NA,0
"10","100000416089878","2018-04-02 12:21:07","2018-04-02 12:39:46","United States","1.9.5","11.0.3","UIDeviceKindIPhone8",15,1
"11","100000416147579","2016-11-30 05:14:18","2018-04-02 15:29:46","United States","1.5.4","10.3.2","UIDeviceKindIPhone7Plus",NA,0
"12","100000416220639","2017-11-19 17:06:46","2018-04-02 20:19:50","United States","1.9.5","11.2.1","UIDeviceKindIPhoneX",NA,0
"13","100000416331091","2017-11-01 17:14:06","2018-04-03 03:38:51","United States","1.6.4","10.3.1","UIDeviceKindIPhone7",NA,0
"14","100000416351729","2018-04-02 22:51:33","2018-04-03 05:01:39","United States","1.9.6","11.2.6","UIDeviceKindIPhone6SPlus",0,1
"15","100000416545131","2017-02-25 19:43:38","2018-04-03 19:12:40","Austria","1.8","11.2","UIDeviceKindIPhone7Plus",NA,0
"16","100000416798941","2018-04-04 13:47:37","2018-04-04 13:52:15","United States","1.9.6","11.2.6","UIDeviceKindIPhoneX",NA,0
"17","100000416816508","2018-04-04 14:45:13","2018-04-04 14:57:23","Norway","1.9.6","11.2.1","UIDeviceKindIPhone7",NA,0
"18","100000416852114","2018-03-21 16:15:50","2018-04-04 17:00:45","United States","1.9.3","11.2.6","UIDeviceKindIPhoneX",NA,0
"19","100000416907654","2016-11-28 03:30:40","2018-04-04 21:15:09","United States","1.0.2","10.1","UIDeviceKindIPhone7Plus",NA,0
"20","100000416950394","2018-04-04 23:15:06","2018-04-05 00:21:08","United States","1.9.6","11.2.6","UIDeviceKindIPadAir2G",24,1
"21","100000416959433","2018-01-06 23:22:20","2018-04-05 00:51:31","United States","1.8","11.2.1","UIDeviceKindIPhone8Plus",NA,0
"22","100000417057904","2018-03-17 22:35:49","2018-04-05 08:02:21","United States","1.9.3","11.2.6","UIDeviceKindIPhone7Plus",NA,0
"23","100000417099318","2018-01-02 14:55:24","2018-04-05 11:30:15","Sweden","1.9.1","11.2.2","UIDeviceKindIPad5G",23,1
"24","100000417225798","2017-01-30 01:24:44","2018-04-05 19:59:11","United States","1.4.6","10.3.1","UIDeviceKindIPhone7Plus",14,1
"25","100000417230286","2018-04-05 20:06:46","2018-04-05 20:22:04","United States","1.9.6","11.2.6","UIDeviceKindIPhone7",NA,0
"26","100000417326814","2018-04-06 03:10:31","2018-04-06 03:12:58","United States","1.9.6","11.2.6","UIDeviceKindIPhoneX",NA,0
"27","100000417332732","2017-05-07 00:54:29","2018-04-06 03:38:32","United States","1.9.2","11.2.1","UIDeviceKindIPhone8Plus",NA,0
"28","100000417348962","2017-11-03 23:23:21","2018-04-06 04:41:45","United States","1.7","10.3.3","UIDeviceKindIPhone7Plus",NA,0
"29","100000417376665","2018-04-04 23:27:56","2018-04-06 06:53:37","United Kingdom","1.9.6","11.1.1","UIDeviceKindIPhone7",20,1
"30","100000417489316","2017-07-14 20:10:47","2018-04-06 15:20:46","United States","1.5.5","10.3.3","UIDeviceKindIPhone7Plus",NA,0
"31","100000417542849","2018-04-06 18:41:24","2018-04-06 18:48:18","United States","1.9.6","11.2.6","UIDeviceKindIPhoneX",2,1
"32","100000417557481","2018-04-06 15:16:37","2018-04-06 19:56:09","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",1,1
"33","100000417562651","2018-04-06 19:59:07","2018-04-06 20:22:13","Lithuania","1.9.6","11.2.6","UIDeviceKindIPhoneX",NA,0
"34","100000417784444","2018-03-25 23:21:40","2018-04-07 12:34:29","United Kingdom","1.9.3","11.0.3","UIDeviceKindIPhone7",NA,0
"35","100000417873797","2018-03-23 03:18:17","2018-04-07 17:46:59","United States","1.9.3","11.2.2","UIDeviceKindIPhone6S",NA,0
"36","100000417948670","2018-04-07 19:40:23","2018-04-07 22:50:41","Canada","1.9.6","11.3","UIDeviceKindUnknownIPad",NA,0
"37","100000417961772","2017-03-30 04:17:29","2018-04-07 23:43:14","United States","1.9.6","10.3.3","UIDeviceKindIPhone6S",NA,0
"38","100000418006302","2018-04-08 02:30:30","2018-04-08 02:49:31","United States","1.9.6","11.3","UIDeviceKindIPhone6SPlus",NA,0
"39","100000418011127","2017-12-25 11:49:54","2018-04-08 03:11:54","United States","1.9.6","11.3","UIDeviceKindIPhoneX",NA,0
"40","100000418067988","2018-04-08 07:11:13","2018-04-08 07:16:03","Canada","1.9.6","11.2.6","UIDeviceKindIPhone6",20,1
"41","100000418196954","2017-05-09 20:55:59","2018-04-08 16:09:28","United States","1.7.4","11.1.2","UIDeviceKindIPhoneX",0,1
"42","100000418197072","2018-04-08 13:49:12","2018-04-08 16:09:45","United States","1.9.6","11.2.5","UIDeviceKindIPhone7",NA,0
"43","100000418206277","2018-04-08 00:24:06","2018-04-08 16:40:40","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",NA,0
"44","100000418272601","2017-06-10 17:48:55","2018-04-08 21:00:54","United States","1.9.6","11.3","UIDeviceKindIPhoneX",NA,0
"45","100000418280797","2018-03-04 03:56:39","2018-04-08 21:29:53","United States","1.9.3","11.3","UIDeviceKindIPhone7Plus",NA,0
"46","100000418295013","2018-04-08 22:29:39","2018-04-08 22:31:29","United States","1.9.6","11.3","UIDeviceKindIPhone7Plus",NA,0
"47","100000418326220","2018-04-08 23:58:55","2018-04-09 00:55:16","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",NA,0
"48","100000418369554","2018-04-09 03:10:28","2018-04-09 04:07:44","United States","1.9.6","11.2.5","UIDeviceKindIPhone7Plus",0,1
"49","100000418371766","2018-01-28 20:33:22","2018-04-09 04:18:16","United States","1.9.6","11.2.6","UIDeviceKindIPadAir1G",NA,0
"50","100000418393993","2017-09-11 06:05:59","2018-04-09 06:03:51","Australia","1.6.1","10.2.1","UIDeviceKindIPhone7",NA,0
"51","100000418527824","2018-04-09 16:46:33","2018-04-09 16:49:58","Denmark","1.9.6","11.2.6","UIDeviceKindIPhone6",NA,0
"52","100000418528795","2018-03-11 18:00:16","2018-04-09 16:54:53","United States","1.9.3","11.2.1","UIDeviceKindIPhone7Plus",NA,0
"53","100000418532040","2018-04-08 03:14:02","2018-04-09 17:07:11","United States","1.9.6","11.3","UIDeviceKindIPhoneX",2,1
"54","100000418539020","2018-04-09 15:42:37","2018-04-09 17:39:39","United States","1.9.6","11.2.2","UIDeviceKindIPhone8Plus",NA,0
"55","100000418611933","2017-09-06 02:24:07","2018-04-09 23:29:26","United States","1.6","10.3.3","UIDeviceKindIPhone7Plus",NA,0
"56","100000418673718","2018-03-20 02:50:11","2018-04-10 03:53:13","United States","1.9.6","11.1.2","UIDeviceKindIPhone6S",NA,0
